職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
業務,新北市新店區,專科,不拘,18,其他電子零組件相關業,日班,0,32500,業務助理,力德電子股份有限公司
業務,新北市泰山區,專科,不拘,20,藥品／化妝品及清潔用品批發業,夜班,3,36000,業務助理,澤汸有限公司
業務,台中市西屯區,專科,不拘,141,環境衛生及污染防治服務業,夜班,4,42500,業務人員,聯純科技股份有限公司
業務,新北市中和區,大學,不拘,50,環境衛生及污染防治服務業,日班,3,38000,業務助理,世界資源亞太股份有限公司
業務,桃園市觀音區,碩士,不拘,0,印刷業,日班,4,40000,業務專員,寶田精密印刷有限公司
業務,台北市中正區,專科,不拘,50,綜合商品批發代理業,日班,4,36500,業務助理,至鴻股份有限公司
業務,新竹縣竹北市,碩士,不拘,15,食品什貨零售業,日班,0,89750,業務,永進米行有限公司
業務,新北市新店區,專科,不拘,0,消費性電子產品製造業,日班,4,40000,業務專員,華興電子工業股份有限公司
業務,台中市潭子區,大學,不拘,30,醫療器材製造業,日班,3,36000,業務助理,台灣艾思特科技股份有限公司
業務,新北市永和區,專科,不拘,0,其他金屬相關製造業,日班,3,38000,業務助理,亮鑫線槽股份有限公司
業務,桃園市桃園區,碩士,不拘,120,綜合商品批發代理業,日班,4,36000,業務助理,福威爾企業股份有限公司
業務,新北市土城區,碩士,不拘,10,其他半導體相關業,日班,0,35000,業務助理,明泰光電股份有限公司
業務,新北市汐止區,碩士,不拘,0,紡織成衣業,日班,4,44000,業務助理,煒立實業股份有限公司
業務,新北市林口區,專科,不拘,30,其他金屬相關製造業,日班,2,37500,業務助理,光淙股份有限公司
業務,台北市中山區,碩士,不拘,25,貨運承攬業,日班,0,53500,業務經理,匯僑國際物流有限公司
業務,彰化縣線西鄉,專科,不拘,260,電力機械器材製造修配業,夜班,4,33000,業務助理,健椿工業股份有限公司
業務,台中市西屯區,大學,不拘,0,其他商品批發業,日班,0,32000,業務助理,翰唐科技股份有限公司
業務,台北市中山區,大學,不拘,5,其他電子零組件相關業,日班,1,50000,業務祕書,匹克電子股份有限公司
業務,高雄市鳳山區,碩士,不拘,0,其他零售業,日班,0,35000,醫療業務,昇飛醫療儀器有限公司
業務,彰化縣埤頭鄉,專科,不拘,140,飲料製造業,日班,2,32500,業務助理,歐典生物科技股份有限公司
業務,苗栗縣通霄鎮,專科,不拘,15,印刷業,日班,2,30000,業務助理,鶴亞實業股份有限公司
業務,台北市大同區,碩士,不拘,20,其他零售業,日班,0,38000,業務專員,久酒企業有限公司
業務,新北市中和區,專科,不拘,35,廣告行銷公關業,夜班,3,33500,業務助理,欣豐設計有限公司
業務,新北市樹林區,碩士,不拘,40,消費性電子產品製造業,日班,4,34000,業務助理,原旻國際科技有限公司
業務,新北市林口區,高中以下,不拘,50,不動產經營業,日班,3,33500,業務秘書,立軒開發建設股份有限公司
業務,新北市泰山區,專科,不拘,30,其他電子零組件相關業,日班,6,36000,業務助理,捷世林科技股份有限公司
業務,台北市內湖區,專科,不拘,159,電腦軟體服務業,日班,2,38000,業務,PAPAGO＿ 研勤科技股份有限公司
業務,新北市鶯歌區,大學,不拘,95,其他食品製造業,日班,5,42500,業務助理,德隆國際事業有限公司
業務,台中市西屯區,專科,不拘,144,其他商品批發業,日班,0,36000,外勤業務,和司特股份有限公司
業務,新北市新莊區,碩士,不拘,30,藥品製造業,日班,3,37500,業務助理,艾瑞生醫股份有限公司
業務,台中市南屯區,碩士,不拘,35,建材／傢俱零售業,日班,4,33000,業務助理,中歆企業有限公司
財務,新竹市,專科,不拘,5,會計服務業,日班,4,30000,會計助理,睿杰聯合會計師事務所
財務,台中市西區,大學,不拘,0,建築工程業,日班,0,48000,高階主管秘書,豐邑建設股份有限公司
財務,台南市官田區,碩士,不拘,40,鋁基本工業,日班,4,35500,財務專員,益業綠能科技股份有限公司
財務,高雄市小港區,碩士,不拘,209,倉儲業,日班,0,42000,財務人員,台灣碼頭服務股份有限公司
財務,台北市大安區,碩士,不拘,11,其它軟體及網路相關業,日班,0,600000,財務人員,穩健科技股份有限公司
財務,台北市松山區,專科,不拘,20,室內設計業,日班,1,41500,財務會計,映印設計有限公司
財務,新竹縣竹北市,碩士,不拘,0,IC設計相關業,日班,1,45000,財務/會計,芯旺股份有限公司
